NIST 800-171,Control Name,Family,Microsoft Product,Workload,Table,KQL
3.1.22,Control public information,Access Control,Microsoft Purview,Sensitivity Labels,AuditLogs,"// NIST 3.1.22 - Sensitivity Label Policy Changes
// Part 0: Analyst-Driven Targeting
let TargetOperations = dynamic([""Set-Label"", ""New-LabelPolicy"", ""Set-LabelPolicy"", ""Remove-Label""]);
let LookbackDays = 30;
// Part 1: Base Filter
AuditLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where OperationName has_any (TargetOperations)
// Part 2: Enrichment
| extend InitiatedBy_User = tostring(InitiatedBy.user.userPrincipalName)
| extend TargetName = tostring(TargetResources[0].displayName)
// Final Output
| project TimeGenerated, OperationName, InitiatedBy_User, TargetName, Result, Category
| sort by TimeGenerated desc
| take 50"
3.1.22,Control public information,Access Control,SharePoint Online,External Sharing,OfficeActivity,"// NIST 3.1.22 - SharePoint/OneDrive External Sharing Activity
// Part 0: Analyst-Driven Targeting
let TargetUsers = dynamic([""*""]);
let TargetOperations = dynamic([""SharingSet"", ""AnonymousLinkCreated"", ""SharingInvitationCreated"", ""CompanyLinkCreated"", ""AnonymousLinkUsed"", ""SharingInvitationAccepted""]);
let LookbackDays = 30;
// Part 1: Base Filter
OfficeActivity
| where TimeGenerated > ago(LookbackDays * 1d)
| where RecordType in (6, 14)
| where Operation has_any (TargetOperations)
| where (UserId has_any (TargetUsers) or TargetUsers has ""*"")
// Part 2: Enrichment
| extend TargetUserOrGroup = tostring(TargetUserOrGroupName)
// Final Output
| project TimeGenerated, UserId, Operation, OfficeObjectId, Site_Url, TargetUserOrGroup, ClientIP, OfficeWorkload
| sort by TimeGenerated desc
| take 50"
3.10.1,Limit physical access,Physical Protection,Entra ID,Named Location Policy,SigninLogs,"// NIST 3.10.1 - Sign-Ins from Untrusted/Unknown Locations
// Part 0: Analyst-Driven Targeting
let TargetUsers = dynamic([""*""]);
let TrustedCountries = dynamic([""US"", ""CA""]);
let LookbackDays = 30;
// Part 1: Base Filter
SigninLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where ResultType == ""0""
| where (UserPrincipalName has_any (TargetUsers) or TargetUsers has ""*"")
// Part 2: Enrichment
| extend Country = tostring(LocationDetails.countryOrRegion)
| extend City = tostring(LocationDetails.city)
| extend IsTrusted = Country in (TrustedCountries)
| where not(IsTrusted)
// Final Output
| project TimeGenerated, UserPrincipalName, AppDisplayName, Country, City, IPAddress, ConditionalAccessStatus, DeviceDetail, AuthenticationRequirement
| sort by TimeGenerated desc
| take 50"
3.10.1,Limit physical access,Physical Protection,Entra ID,Conditional Access (Location),SigninLogs,"// NIST 3.10.1 - CA Policy Location-Based Blocks
// Part 0: Analyst-Driven Targeting
let TargetUsers = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
SigninLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where ConditionalAccessStatus == ""failure""
| where (UserPrincipalName has_any (TargetUsers) or TargetUsers has ""*"")
// Part 2: Enrichment
| mv-expand CAPolicy = parse_json(ConditionalAccessPolicies)
| extend PolicyName = tostring(CAPolicy.displayName)
| extend PolicyResult = tostring(CAPolicy.result)
| where PolicyResult == ""failure""
| extend Country = tostring(LocationDetails.countryOrRegion)
// Final Output
| project TimeGenerated, UserPrincipalName, AppDisplayName, PolicyName, PolicyResult, Country, IPAddress, ResultType, ResultDescription
| sort by TimeGenerated desc
| take 50"
3.10.1,Limit physical access,Physical Protection,Microsoft Intune,Device Compliance,IntuneDevices,"// NIST 3.10.1 - Device Compliance State for Physical Access Control
// Part 0: Analyst-Driven Targeting
let TargetOS = dynamic([""*""]);
let TargetCompliance = dynamic([""Noncompliant"", ""InGracePeriod"", ""Unknown""]);
// Part 1: Base Filter
IntuneDevices
| where TimeGenerated > ago(1d)
| where ComplianceState has_any (TargetCompliance)
| where (OS has_any (TargetOS) or TargetOS has ""*"")
// Part 2: Enrichment
| summarize arg_max(TimeGenerated, *) by DeviceId
| extend DaysSinceContact = datetime_diff('day', now(), LastContact)
// Final Output
| project TimeGenerated, DeviceName, UserName, OS, OSVersion, ComplianceState, OwnerType, LastContact, DaysSinceContact, SerialNumber
| sort by ComplianceState asc
| take 50"
3.10.3,Escort and monitor visitors,Physical Protection,Entra ID,Guest User Activity,SigninLogs,"// NIST 3.10.3 - Guest (Visitor) Sign-In Activity
// Part 0: Analyst-Driven Targeting
let TargetGuests = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
SigninLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where UserType == ""Guest""
| where (UserPrincipalName has_any (TargetGuests) or TargetGuests has ""*"")
// Part 2: Enrichment
| extend Country = tostring(LocationDetails.countryOrRegion)
| extend City = tostring(LocationDetails.city)
// Final Output
| project TimeGenerated, UserPrincipalName, UserDisplayName, AppDisplayName, ResultType, IPAddress, Country, City, ConditionalAccessStatus, HomeTenantId
| sort by TimeGenerated desc
| take 50"
3.10.3,Escort and monitor visitors,Physical Protection,Entra ID,B2B Invitation,AuditLogs,"// NIST 3.10.3 - Guest Invitation and Redemption Tracking
// Part 0: Analyst-Driven Targeting
let TargetOperations = dynamic([""Invite external user"", ""Redeem external user invite"", ""Delete external user"", ""Update invitation""]);
let LookbackDays = 90;
// Part 1: Base Filter
AuditLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where OperationName has_any (TargetOperations)
// Part 2: Enrichment
| extend InitiatedBy_User = tostring(InitiatedBy.user.userPrincipalName)
| extend TargetUser = tostring(TargetResources[0].userPrincipalName)
| extend TargetDisplayName = tostring(TargetResources[0].displayName)
// Final Output
| project TimeGenerated, OperationName, InitiatedBy_User, TargetUser, TargetDisplayName, Result
| sort by TimeGenerated desc
| take 50"
3.10.3,Escort and monitor visitors,Physical Protection,Microsoft Defender for Cloud Apps,Guest App Access,CloudAppEvents,"// NIST 3.10.3 - Guest/External User Cloud App Activity
// Part 0: Analyst-Driven Targeting
let TargetApps = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
CloudAppEvents
| where TimeGenerated > ago(LookbackDays * 1d)
| where AccountType == ""External"" or AccountId has ""#EXT#""
| where (Application has_any (TargetApps) or TargetApps has ""*"")
// Final Output
| project TimeGenerated, ActionType, AccountId, Application, ObjectName, ObjectType, IPAddress, CountryCode, City
| sort by TimeGenerated desc
| take 50"
3.10.3,Escort and monitor visitors,Physical Protection,Microsoft 365,Guest File Access,OfficeActivity,"// NIST 3.10.3 - Guest User File Access in SharePoint/OneDrive
// Part 0: Analyst-Driven Targeting
let TargetGuests = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
OfficeActivity
| where TimeGenerated > ago(LookbackDays * 1d)
| where UserId has ""#ext#"" or UserId has ""urn:spo:guest""
| where (UserId has_any (TargetGuests) or TargetGuests has ""*"")
// Part 2: Enrichment
| extend FileExtension = tostring(split(OfficeObjectId, ""."")[-1])
// Final Output
| project TimeGenerated, UserId, Operation, OfficeObjectId, FileExtension, Site_Url, ClientIP, OfficeWorkload
| sort by TimeGenerated desc
| take 50"
3.10.4,Maintain audit logs of physical access,Physical Protection,Entra ID,Sign-In Audit Trail,SigninLogs,"// NIST 3.10.4 - Daily Sign-In Audit Trail Summary
// Part 0: Analyst-Driven Targeting
let TargetUsers = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
SigninLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where (UserPrincipalName has_any (TargetUsers) or TargetUsers has ""*"")
// Part 2: Enrichment
| extend Country = tostring(LocationDetails.countryOrRegion)
| extend City = tostring(LocationDetails.city)
| summarize
    TotalSignIns = count(),
    SuccessCount = countif(ResultType == ""0""),
    FailureCount = countif(ResultType != ""0""),
    UniqueUsers = dcount(UserPrincipalName),
    UniqueIPs = dcount(IPAddress),
    Countries = make_set(Country, 20)
  by bin(TimeGenerated, 1d)
// Final Output
| project TimeGenerated, TotalSignIns, SuccessCount, FailureCount, UniqueUsers, UniqueIPs, Countries
| sort by TimeGenerated desc
| take 50"
3.10.4,Maintain audit logs of physical access,Physical Protection,Entra ID,Directory Audit Trail,AuditLogs,"// NIST 3.10.4 - Directory Audit Log Completeness Check
// Part 0: Analyst-Driven Targeting
let TargetCategories = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
AuditLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where (Category has_any (TargetCategories) or TargetCategories has ""*"")
// Part 2: Enrichment
| summarize
    EventCount = count(),
    SuccessCount = countif(Result == ""success""),
    FailureCount = countif(Result == ""failure""),
    UniqueOps = dcount(OperationName)
  by bin(TimeGenerated, 1d), Category
// Final Output
| project TimeGenerated, Category, EventCount, SuccessCount, FailureCount, UniqueOps
| sort by TimeGenerated desc
| take 50"
3.10.4,Maintain audit logs of physical access,Physical Protection,Windows,Logon Audit Trail,SecurityEvent,"// NIST 3.10.4 - Windows Logon Audit Trail (4624/4625/4634)
// Part 0: Analyst-Driven Targeting
let TargetComputers = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
SecurityEvent
| where TimeGenerated > ago(LookbackDays * 1d)
| where EventID in (4624, 4625, 4634, 4647, 4648)
| where (Computer has_any (TargetComputers) or TargetComputers has ""*"")
// Part 2: Enrichment
| summarize
    LogonCount = countif(EventID == 4624),
    FailedCount = countif(EventID == 4625),
    LogoffCount = countif(EventID in (4634, 4647)),
    ExplicitCreds = countif(EventID == 4648),
    UniqueAccounts = dcount(TargetAccount)
  by Computer, bin(TimeGenerated, 1d)
// Final Output
| project TimeGenerated, Computer, LogonCount, FailedCount, LogoffCount, ExplicitCreds, UniqueAccounts
| sort by TimeGenerated desc
| take 50"
3.10.4,Maintain audit logs of physical access,Physical Protection,Azure,Activity Log,AzureActivity,"// NIST 3.10.4 - Azure Resource Access Audit Trail
// Part 0: Analyst-Driven Targeting
let TargetSubscriptions = dynamic([""*""]);
let TargetCategories = dynamic([""Administrative"", ""Security"", ""Policy""]);
let LookbackDays = 30;
// Part 1: Base Filter
AzureActivity
| where TimeGenerated > ago(LookbackDays * 1d)
| where CategoryValue has_any (TargetCategories)
| where (SubscriptionId has_any (TargetSubscriptions) or TargetSubscriptions has ""*"")
// Part 2: Enrichment
| extend CallerRoleType = tostring(Claims_d.[""http://schemas.microsoft.com/claims/authnclassreference""])
// Final Output
| project TimeGenerated, Caller, OperationNameValue, CategoryValue, ActivityStatusValue, ResourceGroup, Resource, CallerIpAddress, Level
| sort by TimeGenerated desc
| take 50"
3.10.4,Maintain audit logs of physical access,Physical Protection,Microsoft Sentinel,Threat Intelligence,ThreatIntelligenceIndicator,"// NIST 3.10.4 - TI Feed Coverage and Freshness Audit
// Part 0: Analyst-Driven Targeting
let TargetSources = dynamic([""*""]);
// Part 1: Base Filter
ThreatIntelligenceIndicator
| where TimeGenerated > ago(30d)
| where (SourceSystem has_any (TargetSources) or TargetSources has ""*"")
// Part 2: Enrichment
| summarize
    IndicatorCount = count(),
    ActiveCount = countif(Active == true),
    ExpiredCount = countif(ExpirationDateTime < now()),
    UniqueTypes = make_set(ThreatType, 20)
  by SourceSystem
// Final Output
| project SourceSystem, IndicatorCount, ActiveCount, ExpiredCount, UniqueTypes
| sort by IndicatorCount desc
| take 50"
3.10.5,Control and manage physical access devices,Physical Protection,Microsoft Intune,Device Compliance,IntuneDevices,"// NIST 3.10.5 - Full Device Inventory with Compliance State
// Part 0: Analyst-Driven Targeting
let TargetOS = dynamic([""*""]);
let TargetOwnership = dynamic([""*""]);
// Part 1: Base Filter
IntuneDevices
| where TimeGenerated > ago(1d)
| where (OS has_any (TargetOS) or TargetOS has ""*"")
| where (OwnerType has_any (TargetOwnership) or TargetOwnership has ""*"")
// Part 2: Enrichment
| summarize arg_max(TimeGenerated, *) by DeviceId
| extend DaysSinceContact = datetime_diff('day', now(), LastContact)
| extend IsStale = DaysSinceContact > 30
// Final Output
| project TimeGenerated, DeviceName, UserName, OS, OSVersion, ComplianceState, OwnerType, JoinType, LastContact, DaysSinceContact, IsStale, SerialNumber, Model, Manufacturer, EncryptionReadiness = StorageTotal
| sort by ComplianceState asc, DaysSinceContact desc
| take 50"
3.10.5,Control and manage physical access devices,Physical Protection,Microsoft Intune,Configuration Profiles,IntuneAuditLogs,"// NIST 3.10.5 - Intune Configuration Policy Changes
// Part 0: Analyst-Driven Targeting
let TargetOperations = dynamic([""Patch"", ""Create"", ""Delete""]);
let LookbackDays = 30;
// Part 1: Base Filter
IntuneAuditLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where OperationName has_any (TargetOperations)
// Part 2: Enrichment
| extend ActorUPN = tostring(Properties.Actor.UPN)
| extend TargetName = tostring(Properties.TargetDisplayNames)
// Final Output
| project TimeGenerated, OperationName, ActorUPN, TargetName, ResultType, Properties
| sort by TimeGenerated desc
| take 50"
3.10.5,Control and manage physical access devices,Physical Protection,Microsoft Defender for Endpoint,Device Inventory,DeviceInfo,"// NIST 3.10.5 - MDE Device Inventory and Health
// Part 0: Analyst-Driven Targeting
let TargetDevices = dynamic([""*""]);
let TargetOS = dynamic([""*""]);
// Part 1: Base Filter
DeviceInfo
| where Timestamp > ago(1d)
| where (DeviceName has_any (TargetDevices) or TargetDevices has ""*"")
| where (OSPlatform has_any (TargetOS) or TargetOS has ""*"")
// Part 2: Enrichment
| summarize arg_max(Timestamp, *) by DeviceId
// Final Output
| project Timestamp, DeviceName, DeviceId, OSPlatform, OSVersion, OnboardingStatus, SensorHealthState, MachineGroup, ExposureLevel, RiskScore, IsAzureADJoined, IsInternetFacing, PublicIP, LoggedOnUsers
| sort by RiskScore desc
| take 50"
3.10.5,Control and manage physical access devices,Physical Protection,Microsoft Defender for Endpoint,Secure Config,DeviceTvmSecureConfigurationAssessment,"// NIST 3.10.5 - Secure Configuration Assessment per Device
// Part 0: Analyst-Driven Targeting
let TargetDevices = dynamic([""*""]);
let TargetConfigs = dynamic([""*""]);
// Part 1: Base Filter
DeviceTvmSecureConfigurationAssessment
| where Timestamp > ago(1d)
| where (DeviceName has_any (TargetDevices) or TargetDevices has ""*"")
| where IsCompliant == false
// Part 2: Enrichment
| summarize NonCompliantCount = count() by DeviceName, DeviceId, ConfigurationId, ConfigurationSubcategory
// Final Output
| project DeviceName, DeviceId, ConfigurationId, ConfigurationSubcategory, NonCompliantCount
| sort by NonCompliantCount desc
| take 50"
3.10.5,Control and manage physical access devices,Physical Protection,Entra ID,Registered Devices,AuditLogs,"// NIST 3.10.5 - Device Registration and Join Events
// Part 0: Analyst-Driven Targeting
let TargetOperations = dynamic([""Register device"", ""Add device"", ""Delete device"", ""Update device"", ""Enable device"", ""Disable device""]);
let LookbackDays = 90;
// Part 1: Base Filter
AuditLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where OperationName has_any (TargetOperations)
// Part 2: Enrichment
| extend InitiatedBy_User = tostring(InitiatedBy.user.userPrincipalName)
| extend DeviceName = tostring(TargetResources[0].displayName)
| extend DeviceId = tostring(TargetResources[0].id)
// Final Output
| project TimeGenerated, OperationName, InitiatedBy_User, DeviceName, DeviceId, Result
| sort by TimeGenerated desc
| take 50"
3.10.5,Control and manage physical access devices,Physical Protection,Windows,USB / Removable Devices,SecurityEvent,"// NIST 3.10.5 - USB and Removable Storage Device Events
// Part 0: Analyst-Driven Targeting
let TargetComputers = dynamic([""*""]);
let USBEventIDs = dynamic([6416, 6419, 6420, 6421, 6422, 6423, 6424]);
let LookbackDays = 30;
// Part 1: Base Filter
SecurityEvent
| where TimeGenerated > ago(LookbackDays * 1d)
| where EventID in (USBEventIDs)
| where (Computer has_any (TargetComputers) or TargetComputers has ""*"")
// Final Output
| project TimeGenerated, Computer, EventID, Activity, SubjectAccount, TargetAccount, IpAddress
| sort by TimeGenerated desc
| take 50"
3.13.1,Monitor and protect communications at boundaries,System and Communications Protection,Azure Firewall,Boundary Protection,AzureDiagnostics,"// NIST 3.13.1 - Azure Firewall Rule Hit Analysis
// Part 0: Analyst-Driven Targeting
let TargetResources = dynamic([""*""]);
let TargetActions = dynamic([""Allow"", ""Deny"", ""Alert""]);
let LookbackDays = 7;
// Part 1: Base Filter
AzureDiagnostics
| where TimeGenerated > ago(LookbackDays * 1d)
| where Category has ""AzureFirewall""
| where (Resource has_any (TargetResources) or TargetResources has ""*"")
// Part 2: Enrichment
| extend msg = tostring(msg_s)
| extend Action = extract(@""^(\w+)\."", 1, msg)
| extend Protocol = extract(@""(\w+)\srequest"", 1, msg)
// Final Output
| project TimeGenerated, Resource, OperationName, Action, Protocol, msg
| sort by TimeGenerated desc
| take 50"
3.13.1,Monitor and protect communications at boundaries,System and Communications Protection,Azure NSG,Flow Logs,AzureNetworkAnalytics_CL,"// NIST 3.13.1 - NSG Flow Log Boundary Analysis
// Part 0: Analyst-Driven Targeting
let TargetNSGs = dynamic([""*""]);
let TargetDirections = dynamic([""I"", ""O""]);
let LookbackDays = 7;
// Part 1: Base Filter
AzureNetworkAnalytics_CL
| where TimeGenerated > ago(LookbackDays * 1d)
| where SubType_s == ""FlowLog""
| where FlowDirection_s has_any (TargetDirections)
| where (NSGName_s has_any (TargetNSGs) or TargetNSGs has ""*"")
// Part 2: Enrichment
| summarize
    AllowedFlows = sum(AllowedInFlows_d + AllowedOutFlows_d),
    DeniedFlows = sum(DeniedInFlows_d + DeniedOutFlows_d),
    TotalFlows = count()
  by NSGName_s, FlowDirection_s, bin(TimeGenerated, 1h)
// Final Output
| project TimeGenerated, NSGName_s, FlowDirection_s, AllowedFlows, DeniedFlows, TotalFlows
| sort by TimeGenerated desc
| take 50"
3.13.1,Monitor and protect communications at boundaries,System and Communications Protection,Network Appliance,CEF / Syslog,CommonSecurityLog,"// NIST 3.13.1 - Third-Party Firewall/Proxy CEF Log Analysis
// Part 0: Analyst-Driven Targeting
let TargetDevices = dynamic([""*""]);
let TargetActions = dynamic([""Blocked"", ""Denied"", ""Drop"", ""Reject""]);
let LookbackDays = 7;
// Part 1: Base Filter
CommonSecurityLog
| where TimeGenerated > ago(LookbackDays * 1d)
| where (DeviceVendor has_any (TargetDevices) or TargetDevices has ""*"")
// Part 2: Enrichment
| extend IsBlocked = DeviceAction has_any (TargetActions)
// Final Output
| project TimeGenerated, DeviceVendor, DeviceProduct, DeviceAction, SourceIP, DestinationIP, DestinationPort, Protocol, Activity, IsBlocked, SentBytes, ReceivedBytes
| sort by TimeGenerated desc
| take 50"
3.13.1,Monitor and protect communications at boundaries,System and Communications Protection,Microsoft Defender for Endpoint,Endpoint Network,DeviceNetworkEvents,"// NIST 3.13.1 - Endpoint Network Connections at Boundary
// Part 0: Analyst-Driven Targeting
let TargetDevices = dynamic([""*""]);
let TargetActions = dynamic([""ConnectionSuccess"", ""ConnectionFailed"", ""ConnectionBlocked""]);
let LookbackDays = 7;
// Part 1: Base Filter
DeviceNetworkEvents
| where Timestamp > ago(LookbackDays * 1d)
| where (DeviceName has_any (TargetDevices) or TargetDevices has ""*"")
| where ActionType has_any (TargetActions)
| where not(ipv4_is_private(RemoteIP))
// Part 2: Enrichment
| extend IsBlocked = ActionType has ""Blocked"" or ActionType has ""Failed""
// Final Output
| project Timestamp, DeviceName, ActionType, RemoteIP, RemotePort, RemoteUrl, InitiatingProcessFileName, LocalIP, Protocol, IsBlocked
| sort by Timestamp desc
| take 50"
3.13.1,Monitor and protect communications at boundaries,System and Communications Protection,Microsoft Defender for Cloud Apps,Cloud Traffic,CloudAppEvents,"// NIST 3.13.1 - Cloud App Communication Monitoring
// Part 0: Analyst-Driven Targeting
let TargetApps = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
CloudAppEvents
| where TimeGenerated > ago(LookbackDays * 1d)
| where (Application has_any (TargetApps) or TargetApps has ""*"")
// Part 2: Enrichment
| summarize
    EventCount = count(),
    UniqueUsers = dcount(AccountId),
    UniqueIPs = dcount(IPAddress)
  by Application, ActionType, bin(TimeGenerated, 1d)
// Final Output
| project TimeGenerated, Application, ActionType, EventCount, UniqueUsers, UniqueIPs
| sort by EventCount desc
| take 50"
3.13.1,Monitor and protect communications at boundaries,System and Communications Protection,Microsoft Defender for Cloud Apps,Network Discovery,McasShadowItReporting,"// NIST 3.13.1 - Shadow IT Discovery at Boundary
// Part 0: Analyst-Driven Targeting
let MinUsers = 1;
let LookbackDays = 30;
// Part 1: Base Filter
McasShadowItReporting
| where TimeGenerated > ago(LookbackDays * 1d)
// Part 2: Enrichment
| summarize
    TotalTraffic = sum(UploadedBytes + DownloadedBytes),
    UserCount = dcount(EnrichedUserName),
    Sessions = count()
  by AppName = tostring(AppName), StreamName
| where UserCount >= MinUsers
// Final Output
| project AppName, StreamName, TotalTraffic, UserCount, Sessions, TrafficMB = round(TotalTraffic / 1048576.0, 2)
| sort by TotalTraffic desc
| take 50"
3.13.1,Monitor and protect communications at boundaries,System and Communications Protection,Microsoft 365,Exchange Transport,OfficeActivity,"// NIST 3.13.1 - Exchange Email Transport Monitoring
// Part 0: Analyst-Driven Targeting
let TargetUsers = dynamic([""*""]);
let TargetOperations = dynamic([""Send"", ""SendAs"", ""SendOnBehalf"", ""MailItemsAccessed""]);
let LookbackDays = 30;
// Part 1: Base Filter
OfficeActivity
| where TimeGenerated > ago(LookbackDays * 1d)
| where RecordType in (2, 3)
| where Operation has_any (TargetOperations)
| where (UserId has_any (TargetUsers) or TargetUsers has ""*"")
// Final Output
| project TimeGenerated, UserId, Operation, OfficeObjectId, ClientIP, OfficeWorkload, ResultStatus
| sort by TimeGenerated desc
| take 50"
3.13.1,Monitor and protect communications at boundaries,System and Communications Protection,Microsoft Defender for Office 365,Email Flow,EmailEvents,"// NIST 3.13.1 - Inbound/Outbound Email Flow Analysis
// Part 0: Analyst-Driven Targeting
let TargetRecipients = dynamic([""*""]);
let TargetDirections = dynamic([""Inbound"", ""Outbound""]);
let LookbackDays = 7;
// Part 1: Base Filter
EmailEvents
| where Timestamp > ago(LookbackDays * 1d)
| where EmailDirection has_any (TargetDirections)
| where (RecipientEmailAddress has_any (TargetRecipients) or TargetRecipients has ""*"")
// Part 2: Enrichment
| extend HasDetections = DetectionMethods != ""{}""
// Final Output
| project Timestamp, SenderFromAddress, RecipientEmailAddress, Subject, EmailDirection, DeliveryAction, DeliveryLocation, DetectionMethods, HasDetections, ThreatTypes
| sort by Timestamp desc
| take 50"
3.13.5,Implement subnetworks for public components,System and Communications Protection,Azure NSG,NSG Flow Analytics,AzureNetworkAnalytics_CL,"// NIST 3.13.5 - Public vs Private Subnet Traffic Analysis
// Part 0: Analyst-Driven Targeting
let TargetNSGs = dynamic([""*""]);
let PublicSubnets = dynamic([""dmz"", ""public"", ""frontend"", ""web""]);
let LookbackDays = 7;
// Part 1: Base Filter
AzureNetworkAnalytics_CL
| where TimeGenerated > ago(LookbackDays * 1d)
| where SubType_s == ""FlowLog""
| where (NSGName_s has_any (TargetNSGs) or TargetNSGs has ""*"")
// Part 2: Enrichment
| extend IsPublicSubnet = Subnet1_s has_any (PublicSubnets) or Subnet2_s has_any (PublicSubnets)
| extend CrossZoneTraffic = Subnet1_s != Subnet2_s
| where CrossZoneTraffic == true or IsPublicSubnet == true
// Final Output
| project TimeGenerated, NSGName_s, Subnet1_s, Subnet2_s, SrcIP_s, DestIP_s, DestPort_d, FlowDirection_s, FlowStatus_s, IsPublicSubnet, CrossZoneTraffic
| sort by TimeGenerated desc
| take 50"
3.13.5,Implement subnetworks for public components,System and Communications Protection,Azure Firewall,Firewall Rules,AzureDiagnostics,"// NIST 3.13.5 - Firewall Segmentation Enforcement
// Part 0: Analyst-Driven Targeting
let TargetFirewalls = dynamic([""*""]);
let LookbackDays = 7;
// Part 1: Base Filter
AzureDiagnostics
| where TimeGenerated > ago(LookbackDays * 1d)
| where Category has ""AzureFirewall""
| where (Resource has_any (TargetFirewalls) or TargetFirewalls has ""*"")
// Part 2: Enrichment
| extend RuleAction = extract(@""Action:\s*(\w+)"", 1, msg_s)
| extend RuleCollection = extract(@""Rule Collection:\s*([^\.]+)"", 1, msg_s)
| where isnotempty(RuleAction)
// Final Output
| project TimeGenerated, Resource, RuleAction, RuleCollection, OperationName, msg_s
| sort by TimeGenerated desc
| take 50"
3.13.5,Implement subnetworks for public components,System and Communications Protection,Microsoft Defender for Cloud,Network Posture,SecurityRecommendation,"// NIST 3.13.5 - Network Segmentation Recommendations
// Part 0: Analyst-Driven Targeting
let TargetKeywords = dynamic([""subnet"", ""network"", ""NSG"", ""firewall"", ""segment"", ""public"", ""internet"", ""DMZ"", ""virtual network""]);
// Part 1: Base Filter
SecurityRecommendation
| where RecommendationState == ""Active""
| where RecommendationDisplayName has_any (TargetKeywords) or Description has_any (TargetKeywords)
// Part 2: Enrichment
| extend ResourceName = tostring(Properties.resourceName)
// Final Output
| project TimeGenerated, RecommendationDisplayName, RecommendationSeverity, RecommendationState, ResourceName, Description
| sort by RecommendationSeverity asc
| take 50"
3.13.5,Implement subnetworks for public components,System and Communications Protection,Azure,Network Config Changes,AzureActivity,"// NIST 3.13.5 - Network Resource Configuration Changes
// Part 0: Analyst-Driven Targeting
let TargetResourceTypes = dynamic([""Microsoft.Network/virtualNetworks"", ""Microsoft.Network/networkSecurityGroups"", ""Microsoft.Network/azureFirewalls"", ""Microsoft.Network/publicIPAddresses"", ""Microsoft.Network/routeTables""]);
let LookbackDays = 30;
// Part 1: Base Filter
AzureActivity
| where TimeGenerated > ago(LookbackDays * 1d)
| where CategoryValue == ""Administrative""
| where OperationNameValue has_any (""write"", ""delete"", ""action"")
// Part 2: Enrichment
| extend ResourceType = tostring(Properties_d.resourceType)
| where ResourceType has_any (TargetResourceTypes) or Resource has_any (""virtualNetwork"", ""networkSecurityGroup"", ""azureFirewall"", ""routeTable"")
// Final Output
| project TimeGenerated, Caller, OperationNameValue, Resource, ResourceGroup, ActivityStatusValue, CallerIpAddress, Level
| sort by TimeGenerated desc
| take 50"
3.14.1,"Identify, report, and correct system flaws",System and Information Integrity,Microsoft Defender for Endpoint,Vulnerability Mgmt,DeviceTvmSoftwareVulnerabilities,"// NIST 3.14.1 - Software Vulnerability Inventory
// Part 0: Analyst-Driven Targeting
let TargetDevices = dynamic([""*""]);
let TargetSeverities = dynamic([""Critical"", ""High"", ""Medium""]);
// Part 1: Base Filter
DeviceTvmSoftwareVulnerabilities
| where Timestamp > ago(1d)
| where (DeviceName has_any (TargetDevices) or TargetDevices has ""*"")
| where VulnerabilitySeverityLevel has_any (TargetSeverities)
// Part 2: Enrichment
| summarize
    AffectedDevices = dcount(DeviceId),
    DeviceList = make_set(DeviceName, 10)
  by CveId, SoftwareName, SoftwareVersion, VulnerabilitySeverityLevel
// Final Output
| project CveId, SoftwareName, SoftwareVersion, VulnerabilitySeverityLevel, AffectedDevices, DeviceList
| sort by VulnerabilitySeverityLevel asc, AffectedDevices desc
| take 50"
3.14.1,"Identify, report, and correct system flaws",System and Information Integrity,Microsoft Defender for Endpoint,KB / Patch Assessment,DeviceTvmSoftwareVulnerabilitiesKB,"// NIST 3.14.1 - CVE Knowledge Base Enrichment
// Part 0: Analyst-Driven Targeting
let TargetCVEs = dynamic([""*""]);
let MinCVSS = 7.0;
// Part 1: Base Filter
DeviceTvmSoftwareVulnerabilitiesKB
| where (CveId has_any (TargetCVEs) or TargetCVEs has ""*"")
| where CvssScore >= MinCVSS
// Part 2: Enrichment
| extend IsExploitAvailable = IsExploitAvailable == true
| extend HasPublicExploit = IsExploitVerified == true
// Final Output
| project CveId, CvssScore, VulnerabilityDescription, IsExploitAvailable, HasPublicExploit, AffectedSoftware, PublishedDate, LastModifiedDateTime
| sort by CvssScore desc
| take 50"
